ID,start_year,group,focal,anr_year
36761157900,2010,1179,0,2014
12794947900,2006,118,1,2010
57016428700,2000,118,0,2004
33267648400,2009,1180,1,2013
7003902348,2000,1180,0,2004
33367511700,2008,1181,1,2012
23391929500,2005,1181,0,2009
34567838100,2009,1182,1,2013
36338279200,2008,1182,0,2012
34569203100,2008,1183,1,2012
56350094500,2010,1183,0,2014
34569363500,2008,1184,1,2012
8891071900,2010,1184,0,2014
34570066300,2006,1185,1,2010
7004322541,2009,1185,0,2013
34668058700,2009,1186,1,2013
7004917385,2005,1186,0,2009
34668561200,2008,1187,1,2012
7005363730,2005,1187,0,2009
34770173300,2007,1188,1,2011
24293855000,2004,1188,0,2008
34770397300,2012,1189,1,2016
6603869620,2010,1189,0,2014
12795833800,2006,119,1,2010
7407522409,2010,119,0,2014
34869367400,2010,1190,1,2014
7005972603,2009,1190,0,2013
34870029100,2009,1191,1,2013
7202324266,2011,1191,0,2015
34873176200,2007,1192,1,2011
7404930398,2008,1192,0,2012
34873799400,2010,1193,1,2014
8716932100,2002,1193,0,2006
34877480900,2012,1194,1,2016
7004268227,2001,1194,0,2005
34976337300,2010,1195,1,2014
9943488600,2010,1195,0,2014
34976567000,2010,1196,1,2014
7003454900,2006,1196,0,2010
34976578600,2012,1197,1,2016
16644550500,2010,1197,0,2014
34978244600,2010,1198,1,2014
10040420400,2005,1198,0,2009
35069234100,2009,1199,1,2013
8429576200,2007,1199,0,2011
10145078900,2006,12,1,2010
6701372207,2001,12,0,2005
12798168600,2009,120,1,2013
35227084600,2004,120,0,2008
35069306800,2008,1200,1,2012
7006810666,2007,1200,0,2011
35071285400,2011,1201,1,2015
6603887020,2002,1201,0,2006
35071828400,2012,1202,1,2016
10039464500,2008,1202,0,2012
35072674900,2009,1203,1,2013
6507772721,2010,1203,0,2014
35073962300,2010,1204,1,2014
8512497100,2006,1204,0,2010
35078036900,2012,1205,1,2016
6507715145,2004,1205,0,2008
35078375800,2011,1206,1,2015
14030235900,2007,1206,0,2011
35084804500,2009,1207,1,2013
6602519031,2009,1207,0,2013
35085709900,2012,1208,1,2016
26034245900,2009,1208,0,2013
35087981500,2010,1209,1,2014
7103400345,2004,1209,0,2008
12799252000,2007,121,1,2011
6506558145,2003,121,0,2007
35090045800,2006,1210,1,2010
24479823300,2003,1210,0,2007
35094419900,2009,1211,1,2013
24172933700,2008,1211,0,2012
35099997000,2012,1212,1,2016
55791277000,2011,1212,0,2015
35104255800,2012,1213,1,2016
6603066224,2009,1213,0,2013
35113731100,2012,1214,1,2016
7006205089,2009,1214,0,2013
35113776100,2010,1215,1,2014
56627703100,2005,1215,0,2009
35118560200,2012,1216,1,2016
10144733900,2004,1216,0,2008
35118720600,2012,1217,1,2016
6602429158,2011,1217,0,2015
35140107400,2006,1218,1,2010
19642687300,2007,1218,0,2011
35148098000,2010,1219,1,2014
12803211800,2010,1219,0,2014
12799458800,2008,122,1,2012
14044827300,2001,122,0,2005
35172464500,2009,1220,1,2013
7006242041,2010,1220,0,2014
35175715300,2009,1221,1,2013
10045051100,2006,1221,0,2010
35177144700,2009,1222,1,2013
25958953100,2009,1222,0,2013
35183756200,2012,1223,1,2016
6603576379,2011,1223,0,2015
35195492000,2010,1224,1,2014
56227868300,2011,1224,0,2015
35197934800,2010,1225,1,2014
15834792500,2005,1225,0,2009
35221597500,2011,1226,1,2015
6603631865,2005,1226,0,2009
35223934800,2012,1227,1,2016
24339321600,2010,1227,0,2014
35226924700,2008,1228,1,2012
37091242100,2003,1228,0,2007
35226975000,2009,1229,1,2013
26031924200,2009,1229,0,2013
12801021300,2012,123,1,2016
6507840103,2006,123,0,2010
35226990500,2009,1230,1,2013
35090219300,2011,1230,0,2015
35227002200,2007,1231,1,2011
7103274080,2011,1231,0,2015
35227036700,2011,1232,1,2015
14829323200,2010,1232,0,2014
35227849500,2012,1233,1,2016
16636355800,2008,1233,0,2012
35228207600,2012,1234,1,2016
55573786800,2011,1234,0,2015
35228367500,2006,1235,1,2010
6701761476,2008,1235,0,2012
35228518000,2006,1236,1,2010
6602327990,2007,1236,0,2011
35228649200,2012,1237,1,2016
10042072800,2008,1237,0,2012
35233514700,2006,1238,1,2010
56023809600,2007,1238,0,2011
35234059600,2006,1239,1,2010
24068661200,2009,1239,0,2013
12801073500,2008,124,1,2012
7403460178,2004,124,0,2008
35234646200,2011,1240,1,2015
12759869300,2003,1240,0,2007
35239878500,2006,1241,1,2010
6602634988,2009,1241,0,2013
35239938700,2010,1242,1,2014
6701668267,2009,1242,0,2013
35241251300,2011,1243,1,2015
6603149863,2000,1243,0,2004
35241711000,2007,1244,1,2011
7003265189,2002,1244,0,2006
35243350500,2008,1245,1,2012
36894074900,2002,1245,0,2006
35261525600,2010,1246,1,2014
6701431154,2002,1246,0,2006
35262231400,2007,1247,1,2011
16200944200,2005,1247,0,2009
35264803600,2011,1248,1,2015
7006019999,2009,1248,0,2013
35270010100,2007,1249,1,2011
6603954265,2007,1249,0,2011
12801085400,2011,125,1,2015
6603215020,2009,125,0,2013
35271209000,2006,1250,1,2010
6602860081,2006,1250,0,2010
35272458500,2009,1251,1,2013
6603724368,2005,1251,0,2009
35274563300,2007,1252,1,2011
36155318100,2006,1252,0,2010
35279441400,2009,1253,1,2013
7003444714,2005,1253,0,2009
35293240300,2007,1254,1,2011
6602826094,2002,1254,0,2006
35293544600,2007,1255,1,2011
17033987900,2005,1255,0,2009
35298609700,2008,1256,1,2012
55249883700,2008,1256,0,2012
35304529700,2009,1257,1,2013
7201489446,2003,1257,0,2007
35307884300,2011,1258,1,2015
10140832200,2007,1258,0,2011
35308928800,2011,1259,1,2015
34571802000,2001,1259,0,2005
12805529700,2007,126,1,2011
10040195000,2008,126,0,2012
35309684800,2009,1260,1,2013
7005955587,2010,1260,0,2014
35311621300,2009,1261,1,2013
6603737817,2005,1261,0,2009
35313326800,2007,1262,1,2011
24328865000,2011,1262,0,2015
35313953600,2012,1263,1,2016
6506746084,2006,1263,0,2010
35315024600,2006,1264,1,2010
6603491058,2005,1264,0,2009
35316029900,2009,1265,1,2013
