ID,end_year
56888636300,2018
6507989604,2014
55485940200,2016
7007101008,2011
57192808992,2015
15061717900,2008
56056477500,2015
57191052229,2016
6701740560,2018
6603757179,2016
6602079064,2000
57203228472,2018
57196873890,2017
6507495155,2017
56097020400,2003
56156269900,2015
15760500900,2017
25927422700,2017
6701590849,2009
36177268800,2018
56005372600,2016
7004682339,2017
54790545900,2001
47561820800,2013
7102889841,2017
15835176100,2017
56618322900,2011
57205205269,2018
54985679700,2007
6602704112,2018
23018804100,2013
56407049800,2014
26657654200,2010
57203555921,2004
35292611200,2014
7004539701,1990
7202855332,2008
34768302000,2009
6507554768,2011
6504350389,2010
8403722600,2018
6505635037,2006
55513194100,2016
37074222900,2018
56370539400,1998
6602549287,2017
23394147700,2014
36715149800,2016
22835500500,2017
6602911751,2015
12647414100,2018
57197970533,2002
26643275400,1997
56135211500,2018
22333263900,2005
56515297200,2014
15763598000,2016
37078850100,2011
6504297195,2006
37091588100,2018
23476362800,2017
36078843500,1997
26041121100,2010
57035243200,2016
57197357863,2010
57115512200,2016
6602919670,2008
36170379700,2014
26642788000,2000
57204698668,2016
8576012300,2018
7801544966,2018
57194283726,1992
6602477210,2000
57201265019,2014
7005869252,1991
6603626324,2018
35179399600,2017
57192113111,2018
6507056350,2015
25638577600,2016
7101942414,1997
54790583500,2001
9744913000,2007
7006378321,1999
55612084300,2010
7005285942,2018
8706421200,2005
22333378700,2016
56086562300,2018
57201517140,2012
55613312700,2017
7404782905,2016
7003498035,2018
56255642600,2005
54792767800,2017
37080173500,2018
6506729594,1999
7201370800,1999
6603965361,2012
57198040373,2001
6602743159,2011
6507494400,2018
35550570600,2018
56393147900,2009
57199531976,2012
57193666554,2017
6603097240,1991
8966521400,2016
35101716000,2008
55750042900,2013
54787423300,2011
15128362900,2013
57196523795,1997
56682052900,2015
57197837651,2018
6602934119,2016
57189464937,2018
57193797107,2016
26430656900,2015
6505838328,1992
56097122900,2002
57194829795,2018
14630524700,2006
7201608204,2002
12141109900,2006
6507773178,1995
35548863600,2016
57191737813,2016
36706434100,2011
35335928400,2018
57041029600,2018
55210404700,2016
36781119700,2013
36239540900,2010
56821087600,2006
56500665400,2018
55143899600,2015
35937644700,2017
57205273247,2004
57207661131,2018
22134311400,2017
57023907900,2015
6507589105,2007
6701795688,1997
6701417695,2018
23393096300,2012
57205051591,2011
57188678994,2017
6603277429,1998
54881975600,2017
55604995900,2011
7004543110,2015
57200257905,2018
7202287838,2014
7101633022,2001
35406320300,2018
7103381652,2018
55371568400,2015
35173644200,2008
7003479767,2018
57196881113,2012
36184972700,2016
57195724819,2005
7006736906,2009
12242880500,2006
6508226627,1995
7801688542,2018
56786364600,2016
57195549010,2017
7004407126,2003
41261979200,2014
35176316700,2012
16174785200,2006
7004053293,2016
57189067538,2018
55323058900,2018
6506835533,2018
6505853534,1998
35608588800,2018
57195245709,2017
53879643900,2010
7005140378,2012
7005125073,2009
35280782200,2018
26435119700,2017
7003876431,2007
57190068018,2015
56724226600,2014
9040778700,2011
7007024271,2018
57205276364,2018
57193837049,2018
6701831220,2012
34978108100,2014
57197568984,2001
7403518693,2009
24528388600,2015
7202257193,2015
11140790500,2005
7003652882,2006
20734416800,2013
35091064100,2014
6701689507,2009
57196004815,1991
56489810900,2018
57192701376,2016
6701446077,2011
35097705100,2018
6603244278,1998
6505996084,2004
7404597424,2003
7003844549,2000
56986641200,2015
57193573319,2018
56286839800,2013
8704767900,2015
14031122700,2008
8926076800,2018
57202218414,2018
7501722523,2003
8300989400,2010
6506579443,2018
57202013381,2017
56960442100,2006
6503943201,2001
8840968000,2008
7006166884,2006
36022789600,2012
55198926300,2018
6602136431,2018
6602553044,2018
56368652700,2014
7003288074,2014
36704068100,2017
55012140900,2011
14056666500,2016
13106009800,2007
55324593200,2008
16175168500,2012
15754181000,2013
16204410100,2007
56854900700,2011
23670246400,2017
57194656359,2017
57192237482,2016
7004084583,2014
57201301493,2018
57191996462,1998
55489301500,2006
7006575535,2011
57194849263,1995
57186398400,2016
57192834926,2016
36665846700,2014
7004272853,2008
25031812100,2018
23089081700,2008
55547464700,2013
6602654044,2016
36663574200,2008
57195532898,2018
55807665000,2016
7801629715,2011
56442094500,2014
54790605200,2018
6503845773,2001
6504613431,2004
7101755216,2004
36190330500,2012
6701814469,2014
56078096600,2016
55256491700,2018
56960580700,2015
7003443578,2012
25634054000,2008
55991728800,2016
35601922700,2011
35280489500,2017
57199378508,1996
57190854987,2018
6602752766,2012
57135797100,1999
56717764600,2017
6601978855,2011
26424457400,2018
6603686905,2003
55262668800,1997
55867065700,2007
56489833200,2016
56100634400,2015
56195317700,2018
34770243100,2012
35477147000,2016
6603013847,1996
56248584000,2007
55683066300,2013
57192816670,2009
56217035300,2013
7003866390,2004
35772298600,2017
6602896605,2014
55800824800,2014
56463349600,2015
57188754440,2016
45561600000,2013
57203753228,2018
6505792378,2009
25937938000,1995
35550506900,2006
55552789100,2012
37054657100,2010
56769182700,2017
7003979808,1996
36614634800,2016
6701652404,2017
7003691378,2017
55788281700,2009
6603312833,2008
6505485968,2002
57147796200,2012
57164080900,2013
54396240700,2015
36646743000,2013
56779730100,2016
24921132200,2016
57204151682,2018
6603095657,2015
56114141800,2013
6506932379,2017
57197475266,2009
7004736287,2016
18042059200,2015
55970755000,2013
7006797863,2007
37014450100,2011
16418291100,2016
6503944394,2018
7003429854,2016
7005555610,2001
57201905011,2017
23977556500,2008
57192708193,2018
6601964796,1996
7003713793,2009
6508164191,2006
7004058432,2017
57197244479,2013
6507353514,2007
8859966300,2010
25928517500,2013
23979328600,2008
35607238200,2017
56303734800,2014
57016833800,2015
55470573600,2008
55485710100,2011
57194379165,2011
35726709600,2010
7005243284,2018
6604061280,2005
57191382777,2017
8723630100,2014
53364401900,2016
26656011800,2017
7004069113,1999
22733743100,2003
36184933300,2013
55617514600,2012
22035688000,2009
54785299800,2017
15765290300,2015
6603351085,2005
57204921300,2018
55037267000,2013
57132195300,2018
57205197386,2018
35191179100,2012
7102926112,2017
7801552910,2004
56733172800,2012
55243567700,2013
57131148400,1998
9842396400,2017
7005658623,2003
8252143000,2017
10142859300,2017
56971251300,1997
56600628100,2016
55977742700,2015
56845738100,2017
14027991800,2015
57193988905,2016
54683397000,2016
57193706236,2017
57197917646,2000
55445085200,2016
53877668500,2014
55227532300,2018
9842095300,2011
57130361800,1996
55387308700,2012
55858739400,2017
57197793190,2010
35225209300,2014
57199972379,1995
15923420900,2018
14044821700,2017
56879182000,2017
57195641275,2017
57191363595,2016
55553679000,2012
55497329900,2009
56973349900,2000
24781182200,2018
6507613595,1991
6508200228,2011
57196282050,2010
16204514500,2007
51461997500,2007
6507104741,2018
36470629500,2013
13806139000,2004
55845598600,2017
56393857000,2018
35423489200,2012
7102504355,2014
35239828200,2008
14034501600,2012
51160988500,2011
57195148240,2017
55056139500,2018
55709131800,2017
6507246762,2002
51061122800,2016
8964316200,2010
55946710700,2007
56603526600,2012
7005235158,2004
55665644100,2012
26430954400,2012
14826391900,2018
16239955600,2007
7004753693,2008
6602070971,2014
16230566700,2008
56857628600,2018
7006055356,2018
35750932500,2012
57191475737,2018
24831715800,2018
57188962583,2015
7102329673,2000
35794846500,2014
6506173536,2018
35168386600,2009
7004889724,2018
37019071400,2004
55395549800,2011
7005132128,2018
57203105218,2017
57190124242,2016
24331617300,2016
34168027600,2017
25027110000,2014
7102544847,1997
23022311900,2018
23501049900,2015
35609544900,2018
7004580383,2018
7005019635,2011
6603394301,2016
57188590869,2016
6701841142,1995
6507558828,1991
15041968800,2007
16229169400,2015
35876661400,2007
7006026715,2017
57202654476,2018
24340960000,2007
7005756263,2005
36623493800,2018
6701492456,2016
25960338400,2015
57207659369,2018
25929125800,2013
57202452343,2018
6507754075,1995
56841677200,2018
57188925334,2018
56890365100,2017
57193717368,2018
9335327900,2002
56618197800,2012
55372565100,2012
7006715301,2001
56992881400,2002
6505742635,1997
36020849500,2018
6506505246,2001
57131392800,2018
56600853100,2014
36622910000,2014
14834116500,2018
7006129507,1993
57197532858,2010
36336811900,2010
14016658000,2007
13606583600,2018
13906968300,2018
6603672082,2012
7004245418,2016
55647164349,2018
56568363800,2018
6602666543,2007
9635978700,2010
7402490140,1997
8393679000,2018
55875642100,2009
57193699117,2016
7006300324,2015
7006470900,2017
7404174677,2009
39262374300,2013
7101999997,2011
7006070446,2001
6603428189,2009
8331410200,2014
6506651931,2015
57193668892,2017
24823824900,2013
7801594242,2015
56158697000,2016
6603842901,2012
7004832773,2016
7006193038,2003
7004674392,2006
6602838973,2018
57198958092,2011
56069541400,2018
9234774400,2009
56074173200,2016
57194449549,1998
26540948400,2014
9735045400,2013
7101622901,2011
7801361847,2011
9739808000,2008
6602823587,2017
6603394122,2013
57188678139,2008
23474799500,2014
8886329100,2010
56529715900,2015
24171745600,2018
6601995666,2014
6506937518,1998
16219311000,1996
55642871600,2017
55195600600,2017
56305144400,2014
7402506720,2003
25937377900,2008
8220362200,2018
55154987800,2017
56619910100,2002
57120007000,2017
6505754007,2002
57202463996,2018
6602131692,2014
7004687440,2017
7005115733,2001
56064235100,2015
35769262000,2012
27667472500,2015
24483480100,2008
7003289125,2015
55931016700,2017
6603604335,2011
55329916500,2016
16307679400,2017
57190948026,2016
6506833359,2004
57185537000,2014
14824534600,2006
6504271292,2012
23568612400,2017
55777480900,2013
56009639200,1994
57133179800,2016
55841369000,2013
56429699600,2018
56690567000,2014
6701746486,2013
56115733900,2007
6603620757,2001
24775838600,2018
56264752700,2011
15065466400,2011
14521406500,2006
36006997600,2011
57205865258,2018
55547286400,2018
8616022800,2017
57190765982,2018
9740792600,2017
56879056100,2016
55944810600,2017
6506963115,2018
6602591669,2003
55658057221,1998
14621197900,2011
6603346374,2008
15519226500,2015
7004622175,2001
56103590300,2018
57111205800,1998
15827964300,2013
27567563000,2015
7801464166,2009
57204338494,2013
57192918244,2001
7005759149,2018
6603017352,2014
35607176600,2018
7004931900,2003
55566867200,2014
55942188100,1998
56709343000,2017
6505890195,1990
15135551700,2014
16029040600,2016
57200504901,2017
14035001100,2018
57203044284,2014
6701479988,2010
7007079554,2013
56389226300,2017
8709852100,2005
57201524269,2018
53866336800,2018
56472768900,2015
55321729600,2008
55776619300,2018
57196190739,2018
35366144000,2012
55628527677,2012
23008653600,2007
6602544484,2006
55967652800,2016
16306874300,2007
12544780400,2005
24462752100,2013
8878656200,2007
55670793800,2014
6603908018,1998
57196879231,2013
35222083800,2011
55931466000,2013
6506745130,2008
35114206300,2011
57189220123,2016
56345862400,2013
36543568900,2015
55920231400,2018
7202272125,2011
8706839200,2011
6506942662,1996
56538506300,2010
24468168900,2012
55860668600,2017
6603321277,2015
57203979023,2018
6603385975,2012
57193160818,2015
8326623700,2016
55423994500,2005
22940544900,2008
57170844100,2015
55431373200,2018
25522904400,2015
55428884500,2013
24305135100,1993
6602517840,2000
56548893100,2014
54909671300,2013
57202195982,2018
57197293765,2017
7006638319,1996
57200553572,2017
57191711457,2018
57198949453,2011
57189729895,2018
6602468821,2008
57189319888,2015
25031004400,2008
57193696999,2015
36240435100,2010
35944909500,1996
7006178644,2015
55235036700,2018
57190492621,2012
6603581991,2002
36190041200,2013
26532134800,2017
57204318540,2015
57199601841,1993
57189490405,2015
56418593600,2014
57190215418,2017
6602339312,2007
57199121290,2018
57194207869,2017
57203766093,2008
7006536439,2018
6506397347,2006
36941201600,2015
56419270600,2016
7003359470,2018
16152544600,2018
6603285417,2008
56981854100,2013
55255344600,2017
24341747200,2008
7601482975,2015
6504825500,2017
24377090800,2014
13205173700,2006
6507835949,2000
7006127274,2016
57192682800,2016
9278228200,2011
12796880800,2014
23100812800,2007
8961121100,2006
57117171900,2017
36944163800,2008
6603060728,2006
55808070264,2013
6602651468,2018
36069960100,2017
6602921404,2007
6506341607,2017
57170851300,2017
57202019974,2018
57193393436,2013
56433303600,2018
57104958500,1997
7005324491,1990
37019846000,2012
8894760600,2015
49863868100,2018
6603865406,2008
57191870597,2017
57192354684,1994
7003397264,1990
7004890434,1999
56538603500,2008
22981925400,2016
49961119100,2011
6603614395,2005
36931682200,2017
46461910700,2015
22835644200,2018
7005318353,2008
55551467600,2015
41662420000,2010
6602341898,2014
7403530725,2012
14037079200,2012
26660412400,2003
57197947473,1997
26429318000,2016
55605778823,2018
55800383500,2015
22034668700,2018
8965072400,2013
57206328254,2018
6602821958,2018
57202228246,2018
7201827296,1991
7004155855,1996
7006864322,2018
56780962400,2006
6603406483,2017
8727223500,2018
57197787406,2017
57200202986,2018
6602939938,2006
56606231300,2015
56203876600,2018
56835559100,2009
15020848200,2008
25928513900,2013
16157477600,1993
57201300541,2017
56970821900,1996
57201895372,2018
7103266173,2011
50462041300,2018
56110276600,2015
6506251602,2000
57203132154,2018
23019496400,2012
7006457163,2014
13006340600,2008
7003624111,2004
7403506666,2017
24475529800,2009
35451303200,2004
35590499600,2018
25630447700,2008
6701814154,2018
6701311847,2004
35316018200,2017
7004874439,2008
56022706200,2013
8988880800,2018
13106231100,2005
53265204800,2012
55002836300,2005
55121369800,2018
8399247300,2013
57204074469,1998
23470031300,2008
35520065000,2016
55545555900,2011
7202914586,2000
8326667300,2004
57170841900,2003
57000424800,2017
35302494500,2018
21934214100,2014
56912295400,2017
56630435200,2018
24724117800,2007
7404506656,2016
57197478894,2016
57195111146,1991
16234115700,2007
7004159827,2014
7003659293,1994
34880328400,2017
57200935001,2018
56071481700,2018
57195152562,2018
36711635700,2009
7404679473,2016
6602433743,2003
55545451400,2018
57191628140,2018
6506961099,2012
53866152500,2004
6701538538,1997
6601968404,2017
15923108000,2003
9635513900,2016
8944381100,2018
23098144600,2006
6602648087,2003
24821887700,2018
24512366100,2009
55509195900,2018
57202899613,2006
57194784857,2017
57195759126,1992
6603907030,2017
6505941973,2017
57193659335,2018
6602625588,1997
57204225272,2017
57200319939,2017
6506472140,1997
54685089900,2014
57184343300,2016
8971699800,2018
56233343200,2003
8682319500,2017
24922726700,2018
6602787035,2013
6601965579,1992
56925439000,2017
24335297300,2012
23391933400,2010
22733684700,2003
6506145502,2004
35115454100,2009
55562055200,2014
57200971456,1995
7005161988,1997
6507573940,2002
56624557600,2016
56485392200,2014
55522702200,2012
54987296800,2018
55844557900,2016
6602976495,2018
55498650000,2013
56070111800,2018
25640669400,2008
23767097400,2008
36185069000,2012
6506942098,2014
36477425800,2011
7201645712,2008
18041110300,2006
