"","auth.id","start_year","group","focal","anr_year"
"316","6505779889",2010,"114",0,2014
"317","26654698100",2006,"1140",1,2010
"318","12646726800",2007,"1140",0,2011
"319","26654833600",2011,"1141",1,2015
"320","7005238030",2008,"1141",0,2012
"321","26655418000",2006,"1142",1,2010
"322","7003502655",2006,"1142",0,2010
"323","26656061000",2011,"1143",1,2015
"324","24173622700",2009,"1143",0,2013
"325","26656109200",2011,"1144",1,2015
"326","55160084100",2008,"1144",0,2012
"327","26656143000",2006,"1145",1,2010
"328","10038940200",2006,"1145",0,2010
"329","26656500500",2007,"1146",1,2011
"330","6507837445",2007,"1146",0,2011
"331","26656570700",2007,"1147",1,2011
"332","27467536900",2011,"1147",0,2015
"333","26661835900",2006,"1148",1,2010
"334","56039394100",2003,"1148",0,2007
"335","26663280300",2011,"1149",1,2015
"336","7202217597",2010,"1149",0,2014
"337","12791005100",2009,"115",1,2013
"338","6602827488",2011,"115",0,2015
"339","26664606000",2012,"1150",1,2016
"340","26032822900",2009,"1150",0,2013
"341","26665558100",2006,"1151",1,2010
"342","23484505300",2006,"1151",0,2010
"343","26967560800",2010,"1152",1,2014
"344","23009617500",2008,"1152",0,2012
"345","26967714600",2008,"1153",1,2012
"346","24468291300",2009,"1153",0,2013
"347","26968142900",2008,"1154",1,2012
"348","12767483000",2009,"1154",0,2013
"349","27067473100",2010,"1155",1,2014
"350","10042939000",2006,"1155",0,2010
"351","27067523700",2009,"1156",1,2013
"352","26631793300",2011,"1156",0,2015
"353","27169581700",2012,"1157",1,2016
"354","10041735400",2011,"1157",0,2015
"355","27171732900",2007,"1158",1,2011
"356","10038800700",2011,"1158",0,2015
"357","27267476800",2011,"1159",1,2015
"358","55952178800",2004,"1159",0,2008
"359","12791845900",2008,"116",1,2012
"360","12240297000",2004,"116",0,2008
"361","27267821400",2011,"1160",1,2015
"362","6701475715",2004,"1160",0,2008
"363","27267860900",2009,"1161",1,2013
"364","35766864900",2010,"1161",0,2014
"365","27467753100",2009,"1162",1,2013
"366","26657187700",2005,"1162",0,2009
"367","27568174400",2010,"1163",1,2014
"368","6603759030",2003,"1163",0,2007
"369","27667714200",2010,"1164",1,2014
"370","6603460922",2010,"1164",0,2014
"371","27867550900",2010,"1165",1,2014
"372","8579891600",2010,"1165",0,2014
"373","27967979300",2009,"1166",1,2013
"374","10038940200",2008,"1166",0,2012
"375","28367859600",2012,"1167",1,2016
"376","7006678367",2005,"1167",0,2009
"377","28367864300",2012,"1168",1,2016
"378","14830028700",2009,"1168",0,2013
"379","29068047700",2010,"1169",1,2014
"380","14025176800",2011,"1169",0,2015
"381","12793307600",2007,"117",1,2011
"382","7004683218",2007,"117",0,2011
"383","29367508100",2007,"1170",1,2011
"384","55921949000",2007,"1170",0,2011
"385","29467620300",2009,"1171",1,2013
"386","13807381000",2011,"1171",0,2015
"387","30067772700",2008,"1172",1,2012
"388","6505770356",2002,"1172",0,2006
"389","30767881000",2011,"1173",1,2015
"390","57130576400",2005,"1173",0,2009
"391","31967936700",2009,"1174",1,2013
"392","10039669400",2004,"1174",0,2008
"393","32367593600",2009,"1175",1,2013
"394","8053718200",2010,"1175",0,2014
"395","32367815800",2010,"1176",1,2014
"396","56278849900",2011,"1176",0,2015
"397","32367840000",2006,"1177",1,2010
"398","36848564900",2008,"1177",0,2012
