,auth.id,group,focal,anr_year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
251,7006112144,1295,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,12,12,12,12,21,21,21,21,21,21,21,1990
253,6701325897,1297,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,1995
255,6601982390,13,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,16,16,20,20,20,20,20,20,20,1993
257,7004311413,130,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,10,10,10,10,1990
259,7006255547,1300,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1996
260,7401472342,1301,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,5,1993
262,15061865800,1303,0,2012,0,0,0,0,0,0,1,2,3,10,10,14,15,15,15,16,18,20,24,27,27,27,34,46,53,53,54,65,76,1996
264,14036983700,1305,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,2002
266,7004805320,1307,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,8,8,8,8,8,1992
271,7103149275,1311,0,2012,0,0,0,0,0,0,0,8,8,8,8,8,8,11,13,18,23,25,31,37,39,40,40,41,44,44,44,44,44,1991
272,7801687080,1312,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,2000
275,7004386449,1320,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,81,81,1995
