,auth.id,group,focal,anr_year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
95,26532210900,1107,1,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2009
98,26633894300,1110,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,5,5,5,5,5,5,2008
99,26634191400,1111,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,2009
100,26641909600,1115,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,5,2002
102,26643210300,1121,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,1990
103,26643248900,1122,1,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,9,9,15,15,2000
104,26643262800,1124,1,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,6,9,9,9,12,1994
105,26643268200,1125,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
106,26643351300,1127,1,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,21,21,22,23,23,1993
108,26643421700,1128,1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1990
110,26643724000,1131,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,7,10,2010
111,26643838700,1133,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,14,16,16,20,20,20,20,20,20,20,2004
113,26648125700,1136,1,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,9,26,2009
115,26653774200,1139,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,14,17,19,20,27,2012
116,26654833600,1141,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,9,9,9,2009
118,26656061000,1143,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2003
119,26656570700,1147,1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
122,27267821400,1160,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,16,16,21,22,30,2009
124,27568174400,1163,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2009
126,27867550900,1165,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,9,9,24,24,24,27,31,2011
128,12793307600,117,1,2011,0,0,0,0,0,0,0,0,0,0,0,2,6,6,17,17,17,17,18,27,41,45,46,55,64,68,71,72,83,2001
130,29367508100,1170,1,2011,0,0,0,0,0,0,0,0,0,0,3,4,8,8,8,8,11,11,18,19,20,21,24,28,28,31,32,33,37,2000
133,32367840000,1177,1,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,12,12,12,12,1992
134,33067603300,1179,1,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
136,33367511700,1181,1,2012,0,0,0,0,0,2,2,2,2,2,2,5,5,5,6,6,6,10,16,17,18,21,23,28,31,32,33,35,37,1995
138,34569363500,1184,1,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,9,15,19,24,26,33,42,63,66,69,2006
