ID,group,focal,anr_year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year,end_year,max_hole_size,activity,tot_pubs
23395899700,1127,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,21,29,42,43,59,71,86,109,116,125,137,2006,2018,0,12,96
26643838700,1133,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,14,16,16,20,20,20,20,20,20,20,2007,2012,1,5,4
18037044000,1133,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,9,9,13,13,15,18,19,19,22,23,2006,2018,1,12,21
26654833600,1141,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,9,9,9,2014,2016,1,2,2
7005238030,1141,0,2012,0,0,0,0,0,0,0,0,0,0,3,5,7,7,8,8,8,10,10,12,13,16,16,21,21,21,35,37,37,2000,2017,1,17,18
56039394100,4372,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,12,12,12,16,16,16,2011,2016,2,5,5
27267821400,1160,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,16,16,21,22,30,2010,2018,3,8,19
6701475715,1160,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,17,17,17,17,17,17,17,20,20,20,20,20,2005,2014,6,9,5
6701475715,4961,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,17,17,17,17,17,17,17,20,20,20,20,20,2005,2014,6,9,5
27568174400,1163,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2016,2016,0,0,1
6603759030,1163,0,2007,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,1997,2018,18,21,3
12793307600,117,1,2011,0,0,0,0,0,0,0,0,0,0,0,2,6,6,17,17,17,17,18,27,41,45,46,55,64,68,71,72,83,2001,2018,3,17,28
7004683218,117,0,2011,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,8,8,11,11,17,19,22,26,32,32,32,32,32,1999,2014,6,15,13
29367508100,1170,1,2011,0,0,0,0,0,0,0,0,0,0,3,4,8,8,8,8,11,11,18,19,20,21,24,28,28,31,32,33,37,2000,2018,3,18,33
55921949000,1170,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,18,29,36,36,36,42,42,46,46,2007,2017,2,10,11
33367511700,1181,1,2012,0,0,0,0,0,2,2,2,2,2,2,5,5,5,6,6,6,10,16,17,18,21,23,28,31,32,33,35,37,1995,2018,2,23,46
23391929500,1181,0,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,18,18,18,22,25,25,26,26,26,26,28,2003,2018,3,15,26
